token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
95601,HEROMOTOCO26JUN253300PE,HEROMOTOCO,26JUN2025,330000.000000,150,OPTSTK,NFO,5.000000
95678,HDFCLIFE31JUL25650CE,HDFCLIFE,31JUL2025,65000.000000,1100,OPTSTK,NFO,5.000000
95685,HDFCLIFE31JUL25680PE,HDFCLIFE,31JUL2025,68000.000000,1100,OPTSTK,NFO,5.000000
95688,HDFCLIFE31JUL25700CE,HDFCLIFE,31JUL2025,70000.000000,1100,OPTSTK,NFO,5.000000
95706,HDFCLIFE31JUL25760CE,HDFCLIFE,31JUL2025,76000.000000,1100,OPTSTK,NFO,5.000000
95752,HDFCLIFE31JUL25780PE,HDFCLIFE,31JUL2025,78000.000000,1100,OPTSTK,NFO,5.000000
95765,HDFCLIFE31JUL25790PE,HDFCLIFE,31JUL2025,79000.000000,1100,OPTSTK,NFO,5.000000
95805,HEROMOTOCO26JUN254200CE,HEROMOTOCO,26JUN2025,420000.000000,150,OPTSTK,NFO,5.000000
95815,IRB29MAY2536PE,IRB,29MAY2025,3600.000000,10250,OPTSTK,NFO,5.000000
95818,IRB29MAY2540CE,IRB,29MAY2025,4000.000000,10250,OPTSTK,NFO,5.000000
95819,IRB29MAY2540PE,IRB,29MAY2025,4000.000000,10250,OPTSTK,NFO,5.000000
95825,IRB29MAY2546PE,IRB,29MAY2025,4600.000000,10250,OPTSTK,NFO,5.000000
95821,IRB29MAY2542PE,IRB,29MAY2025,4200.000000,10250,OPTSTK,NFO,5.000000
95831,IRB29MAY2552PE,IRB,29MAY2025,5200.000000,10250,OPTSTK,NFO,5.000000
95863,HEROMOTOCO26JUN253750PE,HEROMOTOCO,26JUN2025,375000.000000,150,OPTSTK,NFO,5.000000
95937,IRCTC29MAY25640PE,IRCTC,29MAY2025,64000.000000,875,OPTSTK,NFO,5.000000
95975,IRCTC29MAY25840CE,IRCTC,29MAY2025,84000.000000,875,OPTSTK,NFO,5.000000
95976,IRCTC29MAY25840PE,IRCTC,29MAY2025,84000.000000,875,OPTSTK,NFO,5.000000
96046,HEROMOTOCO31JUL253400CE,HEROMOTOCO,31JUL2025,340000.000000,150,OPTSTK,NFO,5.000000
96049,HEROMOTOCO31JUL253500PE,HEROMOTOCO,31JUL2025,350000.000000,150,OPTSTK,NFO,5.000000
96091,HEROMOTOCO31JUL253600PE,HEROMOTOCO,31JUL2025,360000.000000,150,OPTSTK,NFO,5.000000
96369,HFCL31JUL2572PE,HFCL,31JUL2025,7200.000000,6450,OPTSTK,NFO,5.000000
96194,HFCL26JUN2577PE,HFCL,26JUN2025,7700.000000,4150,OPTSTK,NFO,5.000000
96199,HFCL26JUN2583CE,HFCL,26JUN2025,8300.000000,4150,OPTSTK,NFO,5.000000
96192,HFCL26JUN2575PE,HFCL,26JUN2025,7500.000000,4150,OPTSTK,NFO,5.000000
96375,HFCL31JUL2578PE,HFCL,31JUL2025,7800.000000,6450,OPTSTK,NFO,5.000000
96370,HFCL31JUL2574CE,HFCL,31JUL2025,7400.000000,6450,OPTSTK,NFO,5.000000
96383,HFCL31JUL2582PE,HFCL,31JUL2025,8200.000000,6450,OPTSTK,NFO,5.000000
96384,HFCL31JUL2584CE,HFCL,31JUL2025,8400.000000,6450,OPTSTK,NFO,5.000000
96563,IREDA29MAY25175PE,IREDA,29MAY2025,17500.000000,2900,OPTSTK,NFO,5.000000
96562,IREDA29MAY25175CE,IREDA,29MAY2025,17500.000000,2900,OPTSTK,NFO,5.000000
96573,IREDA29MAY25200PE,IREDA,29MAY2025,20000.000000,2900,OPTSTK,NFO,5.000000
96668,IRFC29MAY25105CE,IRFC,29MAY2025,10500.000000,3525,OPTSTK,NFO,5.000000
96709,HFCL29MAY2589PE,HFCL,29MAY2025,8900.000000,4150,OPTSTK,NFO,5.000000
96714,HINDALCO26JUN25690CE,HINDALCO,26JUN2025,69000.000000,1400,OPTSTK,NFO,5.000000
96816,HFCL26JUN2568PE,HFCL,26JUN2025,6800.000000,4150,OPTSTK,NFO,5.000000
96819,HFCL26JUN2572CE,HFCL,26JUN2025,7200.000000,4150,OPTSTK,NFO,5.000000
96851,HFCL26JUN2594PE,HFCL,26JUN2025,9400.000000,4150,OPTSTK,NFO,5.000000
96876,HINDALCO31JUL25560PE,HINDALCO,31JUL2025,56000.000000,1400,OPTSTK,NFO,5.000000
96889,HINDALCO29MAY25570CE,HINDALCO,29MAY2025,57000.000000,1400,OPTSTK,NFO,5.000000
96965,HINDALCO31JUL25640CE,HINDALCO,31JUL2025,64000.000000,1400,OPTSTK,NFO,5.000000
96973,HINDALCO31JUL25720CE,HINDALCO,31JUL2025,72000.000000,1400,OPTSTK,NFO,5.000000
96975,HINDALCO29MAY25630PE,HINDALCO,29MAY2025,63000.000000,1400,OPTSTK,NFO,5.000000
97009,HINDCOPPER26JUN25225CE,HINDCOPPER,26JUN2025,22500.000000,2650,OPTSTK,NFO,5.000000
97021,HINDALCO29MAY25690CE,HINDALCO,29MAY2025,69000.000000,1400,OPTSTK,NFO,5.000000
97170,HINDALCO26JUN25520CE,HINDALCO,26JUN2025,52000.000000,1400,OPTSTK,NFO,5.000000
97188,HINDALCO26JUN25620CE,HINDALCO,26JUN2025,62000.000000,1400,OPTSTK,NFO,5.000000
97235,HINDCOPPER31JUL25230CE,HINDCOPPER,31JUL2025,23000.000000,2650,OPTSTK,NFO,5.000000
97214,ITC29MAY25400PE,ITC,29MAY2025,40000.000000,1600,OPTSTK,NFO,5.000000
97378,JINDALSTEL29MAY25680PE,JINDALSTEL,29MAY2025,68000.000000,625,OPTSTK,NFO,5.000000
97242,HINDCOPPER31JUL25240PE,HINDCOPPER,31JUL2025,24000.000000,2650,OPTSTK,NFO,5.000000
97253,HINDCOPPER31JUL25260PE,HINDCOPPER,31JUL2025,26000.000000,2650,OPTSTK,NFO,5.000000
97275,HINDCOPPER29MAY25235CE,HINDCOPPER,29MAY2025,23500.000000,2650,OPTSTK,NFO,5.000000
97382,JINDALSTEL29MAY25760PE,JINDALSTEL,29MAY2025,76000.000000,625,OPTSTK,NFO,5.000000
97391,JINDALSTEL29MAY25960CE,JINDALSTEL,29MAY2025,96000.000000,625,OPTSTK,NFO,5.000000
97438,HINDCOPPER26JUN25200CE,HINDCOPPER,26JUN2025,20000.000000,2650,OPTSTK,NFO,5.000000
97439,HINDCOPPER26JUN25200PE,HINDCOPPER,26JUN2025,20000.000000,2650,OPTSTK,NFO,5.000000
97444,HINDCOPPER26JUN25230CE,HINDCOPPER,26JUN2025,23000.000000,2650,OPTSTK,NFO,5.000000
97446,HINDCOPPER26JUN25240CE,HINDCOPPER,26JUN2025,24000.000000,2650,OPTSTK,NFO,5.000000
97481,HINDPETRO26JUN25375PE,HINDPETRO,26JUN2025,37500.000000,2025,OPTSTK,NFO,5.000000
97503,HINDPETRO26JUN25425PE,HINDPETRO,26JUN2025,42500.000000,2025,OPTSTK,NFO,5.000000
100004,IDFCFIRSTB26JUN2565PE,IDFCFIRSTB,26JUN2025,6500.000000,7500,OPTSTK,NFO,5.000000
100009,KOTAKBANK29MAY252360CE,KOTAKBANK,29MAY2025,236000.000000,400,OPTSTK,NFO,5.000000
100002,IDFCFIRSTB26JUN2563PE,IDFCFIRSTB,26JUN2025,6300.000000,7500,OPTSTK,NFO,5.000000
97646,HINDUNILVR26JUN252100CE,HINDUNILVR,26JUN2025,210000.000000,300,OPTSTK,NFO,5.000000
